X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,DENSIDADE,tocantins_,tocantin_1,tocantin_2,tocantin_3,icon_url
-49.700039504664,-9.78757753524875,72,"1712504",Marianópolis do Tocantins,TO,2089.574999999999818,2.514000000000000,TO,"17","12504","5254",./0.png
-46.5026069536442,-10.5830080148186,73,"1712702",Mateiros,TO,9589.272999999999229,0.285000000000000,TO,"17","12702","2729",./0.png
-47.5899438969317,-6.02317821053908,74,"1712801",Maurilândia do Tocantins,TO,736.302999999999997,4.683000000000000,TO,"17","12801","3448",./0.png
-48.5514678932382,-9.75416054656815,75,"1713205",Miracema do Tocantins,TO,2663.744999999999891,6.733000000000000,TO,"17","13205","17936",./1.png
-48.6837622556701,-9.41634273680613,76,"1713304",Miranorte,TO,1033.300999999999931,13.058000000000000,TO,"17","13304","13493",./1.png
-48.0172131418182,-10.7476196562837,77,"1713601",Monte do Carmo,TO,3601.204999999999927,2.240000000000000,TO,"17","13601","8066",./0.png
-49.0672828213745,-9.99948179768518,78,"1713700",Monte Santo do Tocantins,TO,1072.920000000000073,2.139000000000000,TO,"17","13700","2295",./0.png
-47.6426913258757,-6.60023102038816,79,"1713809",Palmeiras do Tocantins,TO,743.407000000000039,9.073000000000000,TO,"17","13809","6745",./0.png
-48.7865062437779,-7.00334290734839,80,"1713957",Muricilândia,TO,1194.367999999999938,3.003000000000000,TO,"17","13957","3587",./0.png
-47.6488261250462,-11.7983135092968,81,"1714203",Natividade,TO,3241.672000000000025,2.853000000000000,TO,"17","14203","9250",./1.png
-47.7814516121642,-6.33034173330513,82,"1714302",Nazaré,TO,395.997000000000014,9.682000000000000,TO,"17","14302","3834",./0.png
-48.3607452550394,-7.637885488135,83,"1714880",Nova Olinda,TO,1567.834000000000060,7.601000000000000,TO,"17","14880","11917",./1.png
-48.9733317725748,-10.550012314824,84,"1715002",Nova Rosalândia,TO,514.791000000000054,8.361000000000002,TO,"17","15002","4304",./0.png
-47.3830081095992,-10.1549763285422,85,"1715101",Novo Acordo,TO,2678.262000000000171,1.642000000000000,TO,"17","15101","4397",./0.png
-46.5596287256181,-12.914262173095,86,"1715150",Novo Alegre,TO,200.412000000000006,11.635999999999999,TO,"17","15150","2332",./0.png
-46.5703607657211,-11.7790145182543,87,"1715259",Novo Jardim,TO,1213.893000000000029,2.261000000000000,TO,"17","15259","2745",./0.png
-48.8758053453837,-10.6744880064638,88,"1715507",Oliveira de Fátima,TO,209.292000000000002,5.342000000000000,TO,"17","15507","1118",./0.png
-48.1562825260779,-7.88594659519098,89,"1715705",Palmeirante,TO,2638.465000000000146,2.324000000000000,TO,"17","15705","6131",./0.png
-48.3487736855015,-13.0197905643453,90,"1715754",Palmeirópolis,TO,1708.980999999999995,4.492000000000000,TO,"17","15754","7676",./0.png
-48.8272652944859,-10.2182174908232,91,"1716109",Paraíso do Tocantins,TO,1292.267000000000053,40.155000000000001,TO,"17","16109","51891",./3.png
-47.8134742819952,-12.6964933276618,92,"1716208",Paranã,TO,11217.372999999999593,0.930000000000000,TO,"17","16208","10437",./1.png
-48.9883552177594,-7.54493043811129,93,"1716307",Pau D'Arco,TO,1375.550999999999931,3.538000000000000,TO,"17","16307","4867",./0.png
-48.0342112438092,-9.22690388558719,94,"1716505",Pedro Afonso,TO,2019.556000000000040,6.820000000000000,TO,"17","16505","13773",./1.png
-48.5552190956401,-11.9967618777581,95,"1716604",Peixe,TO,5303.612000000000080,2.239000000000000,TO,"17","16604","11873",./1.png
-48.9171582860223,-8.37980842155454,96,"1716653",Pequizeiro,TO,1206.117999999999938,4.570000000000000,TO,"17","16653","5512",./0.png
-48.7655824470903,-8.83654309576608,97,"1716703",Colméia,TO,992.220000000000027,8.205000000000000,TO,"17","16703","8141",./0.png
-47.5588522067521,-11.1597142143455,98,"1717008",Pindorama do Tocantins,TO,1560.550999999999931,2.839000000000000,TO,"17","17008","4430",./0.png
-48.2394488448521,-6.73863609899461,99,"1717206",Piraquê,TO,1363.412000000000035,2.225000000000000,TO,"17","17206","3033",./0.png
-49.8718874023664,-10.2095344248143,100,"1717503",Pium,TO,10003.549000000000888,0.774000000000000,TO,"17","17503","7743",./0.png
-46.5932754343044,-12.0575849674908,101,"1717800",Ponte Alta do Bom Jesus,TO,1718.790999999999940,2.671000000000000,TO,"17","17800","4591",./0.png
-47.3245591298571,-10.7495069338929,102,"1717909",Ponte Alta do Tocantins,TO,6542.837999999999738,1.240000000000000,TO,"17","17909","8116",./0.png
-47.0467264332327,-11.5108385108768,103,"1718006",Porto Alegre do Tocantins,TO,506.716999999999985,6.256000000000000,TO,"17","18006","3170",./0.png
-48.4964934607659,-10.5437005352096,104,"1718204",Porto Nacional,TO,4434.680000000000291,12.023000000000000,TO,"17","18204","53316",./3.png
-47.7819322724185,-5.47483909897735,105,"1718303",Praia Norte,TO,300.999000000000024,28.233000000000001,TO,"17","18303","8498",./0.png
-48.461591269263,-8.46188044738268,106,"1718402",Presidente Kennedy,TO,771.716000000000008,4.763000000000000,TO,"17","18402","3676",./0.png
